Date,Close,High,Low,Open,Volume,Returns,Volatility_30d,Volatility_90d,Momentum_6m,Momentum_12m,MA_50,MA_200,Trend
2016-01-11,227.86480712890625,229.85830020526583,219.0674449426684,220.1400286902471,29016443,0.025201041612388897,0.2555095597957938,0.25856311408694566,0.04819323367131223,0.199289806972889,210.61265197753906,200.95191467285156,0.048074870649603474
2016-01-12,226.5322265625,230.8550635282874,225.5896493910729,228.60155699871387,23373377,-0.005848119256311457,0.25297962083461345,0.257500400814465,0.04901678629962669,0.19543997232598898,211.08285675048828,201.1707406616211,0.049272155862565725
2016-01-13,233.33609008789065,236.1313198658129,226.9114067252699,228.1898488510444,71802356,0.030034859183770468,0.26469086087571536,0.26167567247799195,0.09059141381936597,0.2449818409275184,211.6715869140625,201.43658576965333,0.050810040814100565
2016-01-14,230.04248046875,234.23532501627105,228.17900846765409,230.51918597239523,27823189,-0.014115303028777282,0.26828178216148874,0.260686510542823,0.05974240833383049,0.2857623742802904,212.16540924072265,201.67954315185546,0.05199271044050224
2016-01-15,232.5668792724609,236.07716045818896,230.8984170213245,231.7976587112473,28767318,0.010973620170357412,0.26905239263761915,0.258552058992965,0.06583922156094824,0.2721793956641989,212.6572821044922,201.93838584899902,0.05308003334991662
2016-01-18,220.3350372314453,234.87453303742072,218.43906361533644,232.93520940889573,27254669,-0.052594944212522754,0.3114466213665907,0.27425029784354465,0.019091975669183636,0.2228031527588843,212.8724493408203,202.15276039123535,0.05302766545872872
2016-01-19,226.13134765625,227.47477861500693,219.73916608917563,222.9677657669591,21489315,0.026306803028862458,0.3154867747329332,0.27717809770091656,0.03209214332400001,0.22834906205391792,213.27244781494142,202.41494743347167,0.05363981523666039
2016-01-20,217.6698455810547,224.24620352988683,214.5170974367056,224.24620352988683,45114225,-0.03741852760749442,0.3343208821810091,0.2824067976370367,-0.018706688991991682,0.19629135876142345,213.56692199707032,202.63584342956543,0.053944447253254424
2016-01-21,213.26031494140625,222.2635357431884,211.63518843584404,220.48673481382508,31768619,-0.020257884723892228,0.33004080276462566,0.2847615361041475,-0.03670350650469545,0.18199619798553157,213.7047332763672,202.8183752441406,0.0536754030255997
2016-01-22,217.5831756591797,219.06746169288303,215.39467244845827,215.39467244845827,23682648,0.02027034762169011,0.3176526723547151,0.28506983030279404,-0.02010237449510588,0.21779929426807598,213.89064819335937,203.0117684173584,0.053587434170987436
2016-01-25,217.5398101806641,220.7467273403728,216.68390422652828,218.85073936338725,13099564,-0.00019930529271949826,0.3177100849565447,0.2811348591992856,-0.0038202513499410173,0.1762786523580584,214.24254272460936,203.21714210510254,0.05425428438416158
2016-01-27,216.54307556152344,218.8507513478874,216.0230345216206,218.43906364233527,17251028,-0.0045818492638790564,0.31826754504794275,0.28085262496809776,-0.0486005652337026,0.16355183480762503,214.52986572265624,203.40875854492188,0.05467368886811386
2016-01-28,220.3458709716797,221.4076352890921,216.05553601198588,216.9006081253365,23074633,0.01756138080285008,0.31618463123811524,0.28169761360882595,-0.02716930237602888,0.1705928706496389,214.8878271484375,203.58402740478516,0.05552400101200994
2016-01-29,224.3545379638672,225.351284553106,220.5842438236206,220.79008768824767,19177163,0.018192612253227658,0.3198325520184808,0.2829896179455569,0.010097194201749371,0.16100460428496222,215.35434814453126,203.74809745788573,0.056963725460280834
2016-02-01,223.2494506835937,225.741317136433,222.2202024398864,225.34044883358007,9918809,-0.004925629275443821,0.30771956067432343,0.28322658414804563,0.02481723377413214,0.15057181489595362,215.86702239990234,203.89674507141115,0.058707544960066915
2016-02-02,216.93310546875,223.79114382847345,214.6254152656685,223.2494350258033,14771279,-0.028292769346141444,0.31475784813074803,0.28764208804893937,-0.009007641281952194,0.14711573606764117,216.1547787475586,203.99439155578614,0.05961137999446886
2016-02-03,212.653564453125,215.38379037626493,211.26679818509828,214.08368072746492,15691478,-0.019727468550167826,0.3201756910131719,0.2868302181124194,-0.01465865627416929,0.12049224119529134,216.3045068359375,204.0694100189209,0.059955565196577965
2016-02-04,210.8442840576172,216.900600232485,209.2516593361559,214.0837029334668,18203784,-0.00850811224425363,0.3208173846513662,0.28520794157521046,-0.027095854697190003,0.10827244724575924,216.38814697265624,204.1303532409668,0.06004885376953073
2016-02-05,210.37843322753903,212.7836141446888,208.3199367153294,212.15523419626544,20998404,-0.002209454395030508,0.3167674923040075,0.2788162099796016,-0.030892812747485232,0.0841182835099128,216.4020147705078,204.1905721282959,0.05980414528903544
