Ticker,Volatility,Max_Drawdown,Risk_Bucket
INFY.NS,0.4161447990847486,-0.8299654834610729,Low
RELIANCE.NS,0.9172873820612452,-0.775897947906004,High
TCS.NS,0.7177242827333967,-0.6513465797616733,Medium
