Date,Close,High,Low,Open,Volume
2002-08-12,25.828405380249023,26.023581746991024,25.194079086084823,25.194079086084823,212976
2002-08-13,25.478715896606445,26.2756896982172,25.291672366999165,25.860938304520047,153576
2002-08-14,23.722118377685547,25.535635443534325,23.242306681680923,25.535635443534325,822776
2002-08-15,23.722118377685547,23.722118377685547,23.722118377685547,23.722118377685547,0
2002-08-16,23.665193557739254,24.72240151736335,23.258575111729996,23.600135599098596,811856
2002-08-19,23.079666137695312,23.860374190264395,22.86009362659314,23.860374190264395,205880
2002-08-20,23.722118377685547,25.194074995836413,23.087792186503965,23.242306681680923,3773624
2002-08-21,24.88504219055176,25.503102558311355,23.762776574678792,25.0314237989521,3011064
2002-08-22,25.95853042602539,27.048267694095525,25.576307978615898,25.70642641699803,6732480
2002-08-23,27.51993179321289,28.38196326554685,25.86906214326708,26.18622398712345,4841672
2002-08-26,27.42234992980957,28.13799742655011,27.20277496873125,27.959084311463915,2576912
2002-08-27,26.739229202270508,28.78858725373158,26.511523855131344,27.650055554431464,3694224
2002-08-28,26.763633728027344,27.06452996898877,26.210631005353093,26.657911414876544,1674960
2002-08-29,26.763633728027344,27.24344312551923,26.51152972811722,26.600986306382453,1236544
2002-08-30,28.65846824645996,29.357852486260377,26.83681806223248,26.844950927702666,3762384
2002-09-02,28.95123672485352,29.91085537638335,28.658470913297904,29.11388412218416,2389568
2002-09-03,27.593135833740234,29.23587588892681,27.324768563781383,29.113890314981354,986784
2002-09-04,28.194921493530277,28.46328865094705,26.926271560156277,27.24343342304932,1449856
2002-09-05,28.02414894104004,29.187076917439523,27.650059405661764,29.056958494464144,1061360
2002-09-06,26.98319435119629,28.137991528014645,26.68229824301236,28.137991528014645,907472
2002-09-09,26.63350296020508,27.77203438445812,25.698280718854363,25.698280718854363,880848
2002-09-10,26.63350296020508,26.63350296020508,26.63350296020508,26.63350296020508,0
2002-09-11,27.308502197265625,27.78018122804452,26.779898055708408,26.779898055708408,635936
2002-09-12,27.446746826171875,28.121732496139074,27.259703322003286,27.64192319613088,781968
2002-09-13,26.66604423522949,27.47114847458942,26.43833883804983,26.48713356081767,338264
2002-09-16,26.145557403564453,27.064513793924142,25.942248248015737,26.91813219464956,288592
2002-09-17,26.91001319885254,27.08079347387713,26.527793278542976,26.61724736763931,462952
2002-09-18,26.08049964904785,26.836808720262013,25.86092476679794,26.75548505747334,315432
2002-09-19,25.860929489135746,26.72296096846727,25.535634778580576,25.860929489135746,490848
2002-09-20,25.43805313110352,25.81214265869672,24.828125362789308,24.93384766504524,501072
2002-09-23,25.007030487060547,25.68201600829957,24.90131070048632,25.61695805991568,248504
2002-09-24,24.16127014160156,24.91757950802152,23.89290046056704,24.91757950802152,267912
2002-09-25,24.348312377929688,24.559754469056816,23.421222804928355,23.60013591629794,379544
2002-09-26,24.730541229248047,25.120894052764577,24.559760938283542,24.852526796822303,178136
2002-09-27,25.03143119812012,25.372991694419685,24.64921133795852,24.64921133795852,206288
2002-09-30,24.12060165405273,25.031425292976397,23.60013064869614,24.64920552298396,202232
2002-10-01,23.917295455932617,24.559752049611763,23.50254417992649,24.234457320477837,240192
2002-10-02,23.917295455932617,23.917295455932617,23.917295455932617,23.917295455932617,0
2002-10-03,24.55975341796875,25.86093240700021,24.23445867071089,24.23445867071089,673264
2002-10-04,24.405235290527344,24.958235286145044,24.153131402424545,24.88504447522529,258296
2002-10-07,24.29951858520508,24.72240278343202,24.08807896789377,24.567888262396004,110976
2002-10-08,24.95824432373047,25.194082569560468,24.23446385267875,24.372715142545903,227352
2002-10-09,24.323917388916016,25.44618337418667,24.112475288006447,25.04769776966606,277040
2002-10-10,24.348312377929688,25.047696610826154,23.835974121792702,25.047696610826154,173224
2002-10-11,24.86064338684082,25.33231961324337,24.795582970984576,25.03142108418585,192536
2002-10-14,24.68174743652344,25.37299901217566,24.445909160014423,25.324204286945527,152744
2002-10-15,24.68174743652344,24.68174743652344,24.68174743652344,24.68174743652344,0
2002-10-16,24.730541229248047,27.828975141994693,24.57602667334787,27.828975141994693,247760
2002-10-17,24.730541229248047,24.885055785148225,24.41337924991553,24.885055785148225,144512
2002-10-18,25.250991821289062,25.974771766827388,24.90943151890884,25.2103299987105,512312
2002-10-21,25.641357421875,26.50338899719104,25.53563762189368,25.844666638609823,646296
2002-10-22,24.71427154541016,25.860936193758008,24.559757014197857,25.860936193758008,229384
2002-10-23,24.600421905517575,25.177820734205955,24.413378368047923,24.88505488624257,153320
2002-10-24,24.169403076171875,24.950108560451277,24.006755686646635,24.868784865688653,168744
2002-10-25,23.673337936401367,24.12875131377963,23.600147076884184,23.746528795918547,172296
2002-10-28,23.32362365722656,23.74650766312593,23.128447378273407,23.50253669398423,134504
2002-10-29,23.526945114135746,23.71399111080709,23.12845948563068,23.258577900314584,143024
2002-10-30,23.92543029785156,24.35644485685472,23.58386981131175,23.7465171893208,164320
2002-10-31,24.29951858520508,24.39710800996581,23.94169483075268,24.0718132364996,118928
2002-11-01,24.047412872314453,24.819987822791763,23.91729448955793,24.413369427803705,108792
2002-11-04,24.22633552551269,24.397115832702205,24.039291963516497,24.397115832702205,56560
2002-11-05,23.96609878540039,24.283260764070214,23.81158174802034,23.998627773658345,70288
2002-11-06,23.96609878540039,23.96609878540039,23.96609878540039,23.96609878540039,0
2002-11-07,24.706130981445312,25.69828078945502,24.3971020153054,24.3971020153054,204880
2002-11-08,24.27511405944824,24.55161402473664,24.088070622229967,24.23445222685285,77664
2002-11-11,23.909164428710938,24.39710655990912,23.86036971923072,24.39710655990912,66568
2002-11-12,24.03114128112793,24.397097747338,23.74650847407565,23.74650847407565,106864
2002-11-13,23.82783508300781,24.2181877025686,23.69771671588708,24.153129759908943,106264
