MARKET,SERIES,SYMBOL,SECURITY,PREVIOUS CLOSE PRICE,OPEN PRICE,HIGH PRICE,LOW PRICE,CLOSE PRICE,NET TRADED VALUE,NET TRADED QTY,TRADES,52 WEEK HIGH,52 WEEK LOW,UNDERLYING
N,EQ,EBBETF0430,EDELAMC - EBBETF0430,      1558.01,      1560.49,      1565.00,      1559.00,      1561.07,                  8647009.68,5537,410,      1611.59,      1232.00,NIFTY BHARAT BOND
N,EQ,EBBETF0431,EDELAMC - EBBETF0431,      1381.05,      1383.50,      1398.39,      1383.50,      1395.95,                  7790274.25,5584,198,      1410.12,      1297.11,NIFTY BHARAT BOND
N,EQ,EBBETF0433,EDELAMC - EBBETF0433,      1266.60,      1273.19,      1274.65,      1267.47,      1272.17,                  7534652.98,5927,172,      1315.12,      1186.01,BHARAT BOND ETF-APRIL 2033
N,EQ,ECAPINSURE,EDELAMC - ECAPINSURE,        24.16,        24.52,        24.53,        23.72,        23.94,                  1188893.37,49872,505,        26.77,        17.13,BSE CAPITAL MARKETS & INSURANCE TOTAL RETURN INDEX
N,EQ,EGOLD,EDELAMC - EGOLD,       152.75,       151.35,       153.30,       148.75,       152.30,                 28096692.35,185598,1617,       184.95,        83.30,EDELWEISS GOLD ETF
N,EQ,ELIQUID,EDELAMC - ELIQUID,      1017.46,      1018.13,      1018.13,      1017.79,      1017.79,                  1084985.13,1066,6,      1026.47,       996.00,NIFTY 1D RATE INDEX (DEBT INDEX)
N,EQ,ELM250,EDELAMC - ELM250,        16.27,        16.41,        17.94,        16.18,        16.51,                  1239344.88,75134,225,        19.20,        15.85,NIFTY LARGEMIDCAP 250 TRI
N,EQ,EMULTIMQ,EDELAMC - EMULTIMQ,        41.10,        41.00,        41.02,        40.50,        40.88,                   649213.78,15934,292,        44.97,        34.71,NIFTY500 MULTICAP MOMENTUM QUALITY 50 TOTAL RETURN INDEX
N,EQ,ENERGY,MIRAEAMC - ENERGY,        36.26,        36.36,        36.60,        36.10,        36.51,                 39145974.81,1076658,1145,        40.00,        32.00,NIFTY ENERGY
N,EQ,ENIFTY,EDELAMC - ENIFTY,        25.85,        25.63,        25.72,        25.45,        25.72,                   229417.43,8994,39,        27.22,        24.73,NIFTY 50 TRI
N,EQ,EQUAL200,MIRAEAMC - EQUAL200,        13.33,        13.31,        13.37,        13.18,        13.35,                   129061.13,9724,65,        13.96,        11.03,BSE 200 EQUAL WEIGHT
N,EQ,EQUAL50,MIRAEAMC - EQUAL50,       334.89,       333.14,       334.78,       332.78,       333.89,                   463080.10,1389,11,       341.70,       303.44,NIFTY50 EQUAL WEIGHT
N,EQ,EQUAL50ADD,DSPAMC - DSPNEWETF,       345.29,       346.00,       349.90,       341.31,       346.60,                  2893550.40,8423,182,       355.00,       280.01,NIFTY 50 EQUAL WEIGHT INDEX
N,EQ,ESENSEX,EDELAMC - ESENSEX,        84.21,        83.61,        84.68,        82.67,        83.35,                    37652.26,452,27,        88.05,        80.56,BSE SENSEX TRI
N,EQ,ESG,MIRAEAMC - MAESGETF,        43.68,        43.68,        43.79,        43.44,        43.68,                  1418535.91,32478,75,        45.06,        36.00,NIFTY100 ESG SECTOR LEADERS
N,EQ,ESILVER,EDELAMC - ESILVER,       252.93,       245.65,       248.00,       230.90,       237.47,                324278453.68,1368073,7497,       375.00,        86.27,EDELWEISS SILVER ETF
N,EQ,EVIETF,ICICIPRAMC - EVIETF,        30.69,        30.51,        30.54,        30.18,        30.44,                  2990211.18,98576,603,        33.75,        23.56,NIFTY EV & NEW AGE AUTOMOTIVE ETF
N,EQ,EVINDIA,MIRAEAMC - EVINDIA,        30.60,        30.76,        30.76,        30.16,        30.41,                  4581323.13,151023,1683,        32.56,        23.83,NIFTY EV AND NEW AGE AUTOMOTIVE TOTAL RETURN INDEX
N,EQ,FINIETF,ICICIPRAMC-ICICIFIN,        32.20,        32.26,        32.50,        31.77,        32.25,                118798073.46,3693899,1742,        33.66,        24.18,ICICI PRUDENTIAL NIFTY FINANCIAL SERVICES EX-BANK ETF
N,EQ,FLEXIADD,DSPAMC - FLEXIADD,        10.37,        10.58,        10.62,        10.22,        10.32,                 16729340.20,1634742,532,        11.90,        10.16,NIFTY500 FLEXICAP QUALITY 30 TRI
N,EQ,FMCGIETF,ICICIPRAMC - ICICIFMCG,        54.25,        54.26,        55.69,        53.95,        55.61,                178871863.49,3245530,5790,        62.30,        52.71,NIFTY FMCG INDEX
N,EQ,GILT10BETA,UTIAMC-GILT10BETA,        26.02,        26.02,        26.16,        25.89,        26.04,                     9147.68,352,41,        26.99,        24.53,UTI NIFTY 10 YR BENCHMARK G-SEC ETF
N,EQ,GILT5BETA,UTIAMC-GILT5BETA,        63.45,        63.62,        64.75,        63.12,        63.86,                    99858.14,1558,46,        65.00,        59.16,UTI NIFTY 5 YR BENCHMARK G-SEC ETF
N,EQ,GILT5YBEES,RELCAPAMC - NETFGILT5Y,        63.79,        63.79,        64.29,        63.75,        63.94,                 16088876.63,251555,686,        71.00,        59.15,NIFTY 5 YR BENCHMARK G-SEC INDEX
N,EQ,GOLD1,KOTAK GOLD ETF,       126.06,       122.90,       126.50,       122.27,       125.88,                653378775.49,5216582,19126,       155.00,        68.01,GOLD
N,EQ,GOLD360,360ONEAMC - GOLD360,       145.60,       145.00,       148.75,       142.30,       145.85,                 29606338.35,202736,2188,       178.00,        78.20,COMMODITY-GOLD
N,EQ,GOLDADD,DSPAMC - DSPGOLD,       148.10,       145.53,       148.80,       143.33,       147.09,                 98203252.49,670274,3497,       181.00,        80.42,DSP GOLD ETF
N,EQ,GOLDBEES,NIP IND ETF GOLD BEES,       125.22,       123.89,       125.58,       121.55,       125.04,              11844344131.65,95408028,244962,       148.14,        65.85,GOLD
N,EQ,GOLDBETA,UTIAMC-UTIGOLDBETA,       128.65,       127.90,       128.25,       124.00,       127.35,                264056587.15,2082760,11492,       149.35,        68.20,GOLD
N,EQ,GOLDBND,BANDHANAMC - GOLDBND,       150.49,       149.98,       152.80,       147.96,       152.17,                 48002520.30,317754,854,       180.16,       127.96,COMMODITY - GOLD
N,EQ,GOLDCASE,ZERODHAAMC - GOLDCASE,        23.87,        24.59,        24.59,        22.69,        23.79,                432365062.25,18256729,27661,        27.94,        12.83,ZERODHA GOLD ETF
N,EQ,GOLDETF,MIRAEAMC - MAGOLDETF,       147.99,       146.07,       148.26,       144.00,       147.65,                509788061.81,3478957,15317,       173.50,        78.03,MIRAE ASSET GOLD ETF
N,EQ,GOLDIETF,ICICI PRUDENTIAL GOLD ETF,       131.75,       135.04,       135.04,       127.50,       130.01,               2155088092.00,16690821,64999,       158.00,        69.71,GOLD
N,EQ,GROWWCAPM,GROWWAMC - GROWWCAPM,         9.99,        10.19,        10.19,         9.80,         9.91,                  4283852.99,432206,1053,        11.78,         9.00,NIFTY CAPITAL MARKETS INDEX
N,EQ,GROWWCHEM,GROWWAMC - GROWWCHEM,        28.59,        28.50,        28.93,        28.05,        28.21,                   644267.01,22865,264,        29.22,        26.63,NIFTY CHEMICALS INDEX - TRI
N,EQ,GROWWDEFNC,GROWWAMC - GROWWDEFNC,        78.23,        78.24,        78.92,        77.05,        77.47,                 30123613.72,389313,3114,        93.89,        49.83,NIFTY INDIA DEFENCE INDEX- TOTAL RETURN INDEX
N,EQ,GROWWEV,GROWWAMC - GROWWEV,        30.87,        30.94,        30.94,        30.20,        30.37,                  4496413.95,148272,1996,        32.38,        23.00,NIFTY EV AND NEW AGE AUTOMOTIVE INDEX
N,EQ,GROWWGOLD,GROWWAMC - GROWWGOLD,       149.72,        14.50,        15.67,        14.50,        14.81,                136282352.16,9246266,19372,       179.96,        14.50,COMMODITY
N,EQ,GROWWLIQID,GROWWAMC - GROWWLIQID,       107.73,       107.77,       107.78,       107.77,       107.77,                 27227910.59,252629,276,       108.40,       100.00,NIFTY 1D RATE INDEX
N,EQ,GROWWLOVOL,GROWWAMC - GROWWLOVOL,        10.51,        10.72,        10.72,        10.47,        10.60,                   176603.28,16776,168,        11.50,         9.00,NIFTY 500 LOW VOLATILITY 50 INDEX   TRI
N,EQ,GROWWMC150,GROWWAMC - GROWWMC150,       219.46,       219.10,       219.21,       216.24,       218.12,                   482089.13,2207,34,       228.75,       206.60,NIFTY MIDCAP 150 INDEX - TRI
N,EQ,GROWWMETAL,GROWWAMC - GROWWMETAL,        11.36,        11.64,        11.64,        11.15,        11.31,                 12282364.89,1089665,3927,        12.19,        10.03,NIFTY METAL INDEX
N,EQ,GROWWMOM50,GROWWAMC - GROWWMOM50,        10.35,        10.40,        10.49,        10.20,        10.37,                  1007359.45,97646,624,        12.00,         9.11,NIFTY 500 MOMENTUM 50 INDEX- TOTAL RETURN INDEX
N,EQ,GROWWN200,GROWWAMC - GROWWN200,        11.67,        11.50,        11.74,        11.48,        11.60,                   400682.76,34681,377,        12.45,         9.00,NIFTY 200 INDEX- TOTAL RETURN INDEX
N,EQ,GROWWNET,GROWWAMC - GROWWNET,         9.70,         9.74,         9.74,         9.53,         9.59,                  1549159.21,161476,639,        12.14,         9.00,INDEX
N,EQ,GROWWNIFTY,GROWWAMC - GROWWNIFTY,        10.29,        10.40,        10.40,        10.13,        10.30,                  3963823.80,385551,1708,        11.88,         9.50,NIFTY 50 INDEX - TRI
N,EQ,GROWWNXT50,GROWWAMC - GROWWNXT50,        69.19,        69.78,        69.78,        68.00,        68.82,                  1381421.47,20145,179,        72.25,        64.00,INDEX
N,EQ,GROWWPOWER,GROWWAMC - GROWWPOWER,        10.22,        10.37,        10.37,        10.13,        10.24,                 10007965.70,979740,1324,        11.30,         7.75,BSE POWER INDEX - TRI
N,EQ,GROWWRAIL,GROWWAMC - GROWWRAIL,        33.49,        33.75,        33.78,        32.97,        33.28,                 19873884.52,599261,3134,        43.66,        28.72,NIFTY INDIA RAILWAYS PSU INDEX
N,EQ,GROWWRLTY,GROWWAMC - GROWWRLTY,         9.13,         9.28,         9.28,         9.06,         9.24,                   916155.85,99978,505,        11.30,         8.31,INDEX
N,EQ,GROWWSC250,GROWWAMC - GROWWSC250,         9.20,         9.38,         9.38,         9.09,         9.17,                  1889889.29,206684,632,        10.47,         8.66,NIFTY SMALLCAP 250 INDEX - TRI
N,EQ,GROWWSLVR,GROWWAMC - GROWWSLVR,       242.59,        24.00,        27.00,        22.53,        23.03,                340535115.10,14760933,28642,       362.99,        22.53,COMMODITY-SILVER
N,EQ,GSEC10ABSL,BIRLASLAMC - GSEC10ABSL,       110.61,       111.11,       111.11,       111.11,       111.11,                      222.22,2,2,       111.11,       103.92,CRISIL 10 YEAR GILT ETF
N,EQ,GSEC10IETF,ICICIPRAMC - ICICI10GS,       260.10,       260.10,       260.20,       253.00,       258.61,                    27925.80,108,7,       265.36,       243.60,ICICI PRUDENTIAL NIFTY 10 YR BENCHMARK G-SEC ETF
N,EQ,GSEC10YEAR,MIRAEAMC - MAGS813ETF,        29.68,        29.68,        29.81,        28.39,        29.52,                    79271.77,2719,70,        31.00,        27.56,MIRAE ASSET NIFTY 8-13 YR G-SEC ETF
N,EQ,GSEC5IETF,ICICIPRAMC - ICICI5GSEC,        65.55,        64.65,        64.79,        64.00,        64.22,                  1571743.25,24354,184,        66.70,        58.05,NIFTY 5 YR BENCHMARK G-SEC INDEX
N,EQ,HDFCBSE500,HDFCAMC - HDFCBSE500,        37.49,        37.67,        37.90,        36.72,        37.62,                  2133770.39,57266,238,        39.55,        31.14,HDFC S&P BSE 500 ETF
N,EQ,HDFCGOLD,HDFC GOLD ETF,       129.84,       129.84,       129.85,       126.50,       129.39,               1278357170.37,9933132,28420,       152.30,        70.10,GOLD
N,EQ,HDFCGROWTH,HDFCAMC - HDFCGROWTH,       125.03,       125.02,       125.99,       123.36,       124.96,                  1307310.77,10529,275,       133.30,       103.11,HDFC NIFTY GROWTH SECTORS 15 ETF
N,EQ,HDFCLIQUID,HDFCAMC - HDFCLIQUID,      1047.21,      1047.53,      1047.53,      1047.49,      1047.52,                  9478983.00,9049,39,      1050.46,       990.00,HDFC NIFTY 1D RATE LIQUID ETF
N,EQ,HDFCLOWVOL,HDFCAMC - HDFCLOWVOL,        21.00,        20.93,        21.14,        20.88,        21.13,                   318053.76,15110,100,        23.00,        17.70,HDFC NIFTY100 LOW VOLATILITY 30 ETF
N,EQ,HDFCMID150,HDFCAMC - HDFCMID150,        22.12,        22.21,        22.22,        21.90,        22.12,                  7065628.21,320644,1766,        23.39,        17.51,HDFC NIFTY MIDCAP 150 ETF
N,EQ,HDFCMOMENT,HDFCAMC - HDFCMOMENT,        30.97,        30.97,        31.19,        30.62,        31.06,                  2732251.12,88282,616,        33.23,        25.50,HDFC NIFTY200 MOMENTUM 30 ETF
N,EQ,HDFCNEXT50,HDFCAMC - HDFCNEXT50,        70.26,        70.20,        70.32,        69.02,        70.12,                 11621787.75,167010,971,        73.00,        57.00,HDFC NIFTY NEXT 50 ETF
N,EQ,HDFCNIF100,HDFCAMC - HDFCNIF100,        27.01,        27.01,        27.17,        26.55,        26.99,                  4532711.59,168314,352,        29.00,        21.15,HDFC NIFTY 100 ETF
N,EQ,HDFCNIFBAN,HDFCAMC - HDFCNIFBAN,        61.49,        61.82,        61.82,        61.12,        61.67,                  2526460.75,41003,414,        63.63,        48.51,NIFTY BANK
N,EQ,HDFCNIFIT,HDFCAMC - HDFCNIFIT,        38.32,        38.15,        38.51,        37.42,        37.81,                  6839134.97,181546,761,        45.00,        32.24,HDFC NIFTY IT ETF
N,EQ,HDFCNIFTY,HDFCAMC - HDFCNIFTY,       287.24,       287.70,       287.75,       285.56,       287.64,                 17804489.22,62076,1955,       301.88,       240.55,NIFTY 50
N,EQ,HDFCPSUBK,HDFCAMC HDFCPSUBK,        89.64,        87.39,        90.90,        87.39,        89.60,                  2194984.61,24648,267,        93.01,        55.68,HDFC NIFTY PSU BANK ETF
N,EQ,HDFCPVTBAN,HDFCAMC - HDFCPVTBAN,        29.17,        29.25,        29.40,        29.13,        29.35,                   581350.22,19865,376,        29.97,        24.04,HDFC NIFTY PRIVATE BANK ETF
N,EQ,HDFCQUAL,HDFCAMC - HDFCQUAL,        59.11,        58.64,        59.50,        57.75,        58.95,                  1198370.91,20482,212,        61.87,        49.53,HDFC NIFTY100 QUALITY 30 ETF
N,EQ,HDFCSENSEX,HDFCAMC - HDFCSENSEX,        93.87,        93.80,        94.13,        93.33,        94.04,                  2408449.66,25678,496,        98.48,        80.55,SENSEX
N,EQ,HDFCSILVER,HDFCAMC - HDFCSILVER,       238.15,       229.40,       229.70,       217.30,       224.91,               5113449366.62,22837375,109632,       359.00,        85.67,HDFC SILVER ETF
N,EQ,HDFCSML250,HDFCAMC - HDFCSML250,       160.16,       160.36,       160.36,       158.15,       160.07,                195420906.68,1227317,10633,       183.18,       135.21,HDFC NIFTY SMALLCAP 250 ETF
N,EQ,HDFCVALUE,HDFCAMC - HDFCVALUE,       138.38,       138.23,       140.00,       137.42,       138.77,                  1075478.00,7774,90,       142.71,       117.50,HDFC NIFTY50 VALUE 20 ETF
N,EQ,HEALTHADD,DSPAMC - HEALTHADD,       143.69,       143.24,       145.13,       141.32,       142.81,                   249165.03,1746,39,       152.49,       126.98,DSP NIFTY HEALTHCARE ETF
N,EQ,HEALTHIETF,ICICIPRAMC - ICICIPHARM,       145.94,       143.82,       145.50,       143.63,       145.03,                  6931916.16,48012,1260,       157.19,       128.14,NIFTY HEALTHCARE INDEX
N,EQ,HEALTHY,BIRLASLAMC - HEALTHY,        14.55,        14.63,        14.66,        14.39,        14.54,                  1270762.42,87905,1034,        16.98,        12.20,NIFTY HEALTHCARE TRI
N,EQ,HNGSNGBEES,NIP IND ETF HANGSENG BEES,       543.39,       532.20,       545.24,       532.20,       538.30,                 60611338.55,112325,5465,       579.92,       319.00,HANG SENG INDEX
N,EQ,ICICIB22,ICICIPRAMC - BHARATIWIN,       122.02,       123.12,       123.12,       121.13,       122.72,                 97913310.57,802767,3201,       123.69,        93.02,S&P BSE BHARAT 22 INDEX
N,EQ,IDFNIFTYET,BANDHANAMC - IDFNIFTYET,       281.12,       282.53,       282.90,       277.15,       282.15,                   387071.19,1386,54,       340.80,       235.01,NIFTY 50
N,EQ,INFRABEES,NIP IND ETF INFRA BEES,       978.64,       978.62,       986.26,       973.18,       983.93,                 16720769.32,17086,874,      1018.30,       783.98,NIFTY INFRA
N,EQ,INFRAIETF,ICICIPRAMC - ICICIINFRA,        97.70,        97.70,        98.20,        96.96,        98.09,                 10766111.92,110355,1429,       101.00,        77.65,ICICI PRUDENTIAL NIFTY INFRASTRUCTURE ETF
N,EQ,INTERNET,MIRAEAMC - INTERNET,        13.00,        12.99,        13.00,        12.82,        12.91,                   454233.71,35206,226,        16.12,        12.35,EQUITY INDEX
N,EQ,IT,KOTAKMAMC - KOTAKIT,        39.95,        39.97,        40.14,        38.68,        39.28,                 14272604.50,365764,1716,        47.56,        32.55,NIFTY IT INDEX
N,EQ,ITADD,DSPAMC - DSPIT,        38.08,        38.27,        38.27,        37.14,        37.52,                  1442304.46,38557,207,        44.68,        32.61,DSP NIFTY IT ETF
N,EQ,ITBEES,NIP IND ETF IT,        39.98,        40.97,        40.97,        38.90,        39.35,                824248881.26,21031137,40407,        46.89,        33.63,NIFTY IT TRI
N,EQ,ITBETA,UTIAMC-ITBETA,       376.55,       398.00,       400.00,       368.62,       372.51,                   736241.19,1986,59,       469.99,       325.00,UTI NIFTY IT ETF
N,EQ,ITETF,MIRAEAMC - ITETF,        38.03,        38.03,        38.13,        37.05,        37.46,                 55959870.98,1501099,2525,        44.74,        31.70,MIRAE ASSET NIFTY IT ETF
N,EQ,ITIETF,ICICIPRAMC - ICICITECH,        39.86,        39.78,        40.22,        38.90,        39.36,                102376303.96,2608009,2804,        47.50,        33.43,NIFTY IT INDEX
N,EQ,IVZINGOLD,INVESCO INDIA GOLD ETF,     13087.15,     13046.85,     13169.90,     12888.00,     13116.05,                  5409618.60,415,250,     15599.80,      7202.05,GOLD
N,EQ,IVZINNIFTY,INVESCO INDIA NIFTY ETF,      2930.00,      2944.65,      3147.00,      2900.70,      2910.80,                   160772.14,54,25,      3147.00,      2480.00,NIFTY 50
N,EQ,JUNIORBEES,NIP IND ETF JUNIOR BEES,       740.33,       745.00,       745.00,       733.00,       742.19,                371270832.13,503509,9866,       777.00,       595.00,NIPPON INDIA ETF NIFTY NEXT 50 JUNIOR BEES
N,EQ,LICMFGOLD,LIC MF - LIC GOLD ETF,     13712.25,     13500.05,     13723.60,     13400.05,     13627.85,                441503596.85,32406,1404,     16200.00,      7475.05,GOLD
N,EQ,LICNETFGSC,LICNAMC - LICNMFET,        28.74,        28.83,        28.83,        28.69,        28.70,                  4089555.39,142272,171,        30.05,        26.83,GSEC10 NSE INDEX
N,EQ,LICNETFN50,LICNAMC - LICNFENGP,       284.77,       277.65,       286.46,       277.65,       285.90,                   180867.37,634,58,       295.00,       239.65,NIFTY 50
N,EQ,LICNETFSEN,LICNAMC - LICNFESGP,       937.24,       933.53,       940.06,       933.53,       940.06,                     2807.12,3,3,       989.00,       783.28,SENSEX
N,EQ,LICNFNHGP,LICNAMC - LICNFNHGP,       286.94,       294.11,       294.11,       284.80,       286.94,                    80896.56,283,21,       295.82,       242.47,NIFTY 100
N,EQ,LICNMID100,LICNAMC - LICNMID100,        59.54,        59.78,        59.82,        59.20,        59.65,                   360260.30,6062,79,        67.50,        46.03,LIC MF NIFTY MIDCAP 100 ETF
N,EQ,LIQGRWBEES,NIPPONAMC - LIQGRWBEES,      1026.77,      1027.11,      1027.12,      1027.09,      1027.10,                 72532945.16,70619,116,      1037.73,       995.55,LIQUID
N,EQ,LIQUID,MIRAEAMC - LIQUID,       999.99,       999.99,      1000.00,       999.99,       999.99,                162479883.14,162480,241,      1030.00,       995.00,MIRAE ASSET NIFTY 1D RATE LIQUID ETF
N,EQ,LIQUID1,KOTAKMAMC - KOTAKLIQ,      1090.07,      1090.07,      1090.46,      1090.07,      1090.44,                544355497.52,499206,558,      1094.00,      1006.15,KOTAK NIFTY 1D RATE LIQUID ETF
N,EQ,LIQUIDADD,DSPAMC - LIQUIDADD,      1112.19,      1112.54,      1112.57,      1112.54,      1112.56,               1121910325.27,1008404,590,      1121.66,      1052.08,DSP S&P BSE LIQUID RATE ETF
N,EQ,LIQUIDBEES,NIP IND ETF LIQUID BEES,      1000.00,      1001.88,      1001.88,       999.99,      1000.00,               4456824807.74,4456795,6687,      1030.00,       970.00,GOVERNMENT SECURITIES
N,EQ,LIQUIDBETF,BFAM - LIQUIDBETF,      1068.01,      1063.15,      1068.69,      1063.15,      1068.36,                253934607.94,237686,132,      1207.50,       989.99,BAJAJ FINSERV NIFTY 1D RATE LIQUID ETF
N,EQ,LIQUIDCASE,ZERODHAAMC - LIQUIDCASE,       112.61,       112.66,       112.66,       112.64,       112.65,               2178289904.19,19335884,15553,       113.08,       102.00,ZERODHA NIFTY 1D RATE LIQUID ETF
N,EQ,LIQUIDETF,DSP LIQUID ETF,      1000.00,      1000.00,      1000.01,       999.99,      1000.00,                 65074033.72,65074,154,      1002.00,       980.55,NIFTY1D RATE INDEX
N,EQ,LIQUIDIETF,ICICIPRAMC - ICICILIQ,       999.99,       999.99,      1000.01,       999.99,       999.99,                701165947.25,701166,293,      1029.99,       969.99,S&P BSE LIQUID RATE INDEX
N,EQ,LIQUIDPLUS,MIRAEAMC - LIQUIDPLUS,      1071.44,      1071.46,      1071.82,      1071.46,      1071.80,                314386015.95,293321,158,      1240.88,       994.83,NIFTY 1D RATE INDEX
N,EQ,LIQUIDSBI,SBIAMC - LIQUIDSBI,      1000.01,       999.99,      1000.01,       999.99,       999.99,                  5689034.83,5689,31,      1029.99,       970.23,SBI NIFTY 1D RATE ETF
N,EQ,LIQUIDSHRI,SHRIRAM - LIQUIDSHRI,      1090.90,      1091.25,      1091.25,      1091.24,      1091.24,                 10933229.38,10019,25,      1095.15,      1036.45,SHRIRAM NIFTY 1D RATE LIQUID ETF
N,EQ,LOWVOL,MIRAEAMC - MANV30F,       210.23,       209.58,       210.50,       209.58,       210.21,                   143294.70,683,6,       219.10,       179.33,MIRAE ASSET NIFTY 100 LOW VOLATILITY 30 ETF
N,EQ,LOWVOL1,KOTAKMAMC - KOTAKLOVOL,        21.48,        21.47,        21.63,        21.35,        21.50,                  8481414.71,395958,177,        22.90,        18.16,KOTAK NIFTY 100 LOW VOL 30 ETF
N,EQ,LOWVOLIETF,ICICI PR NIF LW VL 30 ETF,        22.60,        22.85,        22.85,        22.43,        22.66,                 12770456.32,566513,1001,        26.81,        19.03,NIFTY 100 LOW VOLATILITY 30 INDEX
N,EQ,LTGILTBEES,NIP IND ETF LONGTERM GILT,        29.21,        29.25,        29.28,        29.12,        29.19,                 87809204.27,3004194,1561,        30.13,        27.45,NIFTY 8-13 YR G-SEC INDEX
N,EQ,LTGILTCASE,ZERODHAAMC - LTGILTCASE,        29.76,        30.65,        30.65,        29.69,        29.71,                  8597234.60,288962,608,        30.72,        28.71,NIFTY 8-13 YR G-SEC INDEX
N,EQ,MAFANG,MIRAEAMC - MAFANG,       161.06,       157.16,       157.16,       157.16,       157.16,                 64892935.60,412910,783,       178.78,       100.00,NYSE FANG+ TOTAL RETURN INDEX
N,EQ,MAHKTECH,MIRAEAMC - MAHKTECH,        25.03,        24.93,        24.93,        24.93,        24.93,                 16150775.85,647845,416,        35.59,        17.56,HANG SENG TECH TOTAL RETURN INDEX
N,EQ,MAKEINDIA,MIRAEAMC - MAMFGETF,       156.40,       156.78,       156.78,       154.74,       156.11,                  3253741.28,20946,411,       160.24,       119.50,NIFTY INDIA MANUFACTURING TOTAL RETURN INDEX
N,EQ,MANUFGBEES,NIPPONAMC - MANUFGBEES,       154.53,       154.07,       154.99,       151.80,       154.44,                  2977998.56,19334,120,       160.69,       141.67,NIFTY INDIA MANUFACTURING TRI
N,EQ,MASPTOP50,MIRAEAMC - MASPTOP50,        70.89,        70.78,        70.78,        70.00,        70.73,                  9592234.69,135653,2493,        73.13,        40.86,S&P 500 TOP 50 TOTAL RETURN INDEX
N,EQ,METAL,MIRAEAMC - METAL,        11.95,        12.24,        12.24,        11.78,        11.99,                 71416602.68,5989879,10569,        12.85,         7.73,NIFTY METAL TOTAL RETURN INDEX
N,EQ,METALIETF,ICICIPRAMC - METALIETF,        11.96,        11.96,        12.25,        11.79,        11.97,                166415735.66,13986123,18010,        12.69,         7.35,NIFTY METAL INDEX
N,EQ,MID150,KOTAKMAMC - MID150,        22.22,        22.20,        22.50,        21.94,        22.34,                  1227097.98,55258,264,        25.49,        17.98,NIFTY MIDCAP 150 INDEX
N,EQ,MID150BEES,NIP IND ETF MIDCAP 150,       226.29,       226.65,       227.50,       223.75,       226.76,                176350744.47,782859,6502,       239.29,       179.00,NIFTY MIDCAP 150 TRI
N,EQ,MID150CASE,ZERODHAAMC - MID150CASE,        10.95,        11.28,        11.48,        10.81,        10.97,                 16830006.63,1542748,3945,        12.00,         7.66,ZERODHA NIFTY MIDCAP 150 ETF
N,EQ,MIDCAP,KOTAKMAMC - KOTAKMID50,       173.77,       174.55,       174.55,       171.17,       173.99,                  7294403.61,42264,829,       183.48,       134.98,NIFTY MIDCAP 50 INDEX
N,EQ,MIDCAPADD,DSPAMC - MIDCAPADD,        21.78,        21.75,        21.96,        21.70,        21.95,                    21237.41,971,31,        25.50,        20.73,NIFTY MIDCAP 150 INDEX
N,EQ,MIDCAPBETA,UTIAMC-MIDCAPBETA,       220.71,       220.72,       223.44,       218.40,       221.72,                   389033.48,1762,45,       235.48,       174.82,UTI NIFTY MIDCAP 150 EXCHANGE TRADED FUND (ETF)
N,EQ,MIDCAPETF,MIRAEAMC - MAM150ETF,        22.31,        22.31,        22.38,        22.07,        22.33,                 36367248.76,1636891,5134,        23.61,        16.00,MIRAE ASSET MUTUAL FUND - MIRAE ASSET NIFTY MIDCAP 150 ETF
N,EQ,MIDCAPIETF,ICICIPRAMC - ICICIM150,        22.65,        22.08,        22.72,        22.08,        22.65,                 16102340.21,714307,2853,        24.00,        17.80,NIFTY MIDCAP 150
N,EQ,MIDQ50ADD,DSPAMC - DSPQ50ETF,       243.45,       241.88,       243.11,       239.52,       242.13,                   649323.49,2691,113,       264.64,       191.97,NIFTY MIDCAP 150 QUALITY 50 INDEX
N,EQ,MIDSELIETF,ICICI PRUD MIDCAP SEL ETF,        18.05,        18.50,        18.50,        17.81,        18.01,                  1853920.71,103597,765,        20.00,        13.86,S&P BSE MIDCAP SELECT INDEX
N,EQ,MIDSMALL,MIRAEAMC - MIDSMALL,        47.50,        47.57,        47.57,        46.80,        47.52,                  9083697.63,192143,896,        52.62,        40.00,MIRAE ASSET NIFTY MIDSMALLCAP400 MOMENTUM QUALITY 100 ETF
N,EQ,MNC,KOTAKMAMC - KOTAKMNC,        31.43,        31.58,        31.86,        31.20,        31.70,                  4793847.75,152667,587,        32.40,        24.52,KOTAK NIFTY MNC ETF
N,EQ,MOALPHA50,MOTILALAMC - MOALPHA50,        49.10,        49.21,        49.41,        48.59,        49.39,                    36987.52,753,24,        54.38,        46.05,NIFTY ALPHA 50 TOTAL RETURN INDEX
N,EQ,MOCAPITAL,MOTILALAMC - MOCAPITAL,        47.87,        48.11,        48.11,        46.75,        47.31,                 26791787.78,568502,2913,        51.13,        29.20,NIFTY CAPITAL MARKET TOTAL RETURN INDEX
N,EQ,MODEFENCE,MOTILALAMC - MODEFENCE,        85.50,        85.30,        85.70,        84.27,        85.11,                236375837.26,2787106,10636,       102.00,        55.21,NIFTY INDIA DEFENCE TOTAL RETURN INDEX
N,EQ,MOENERGY,MOTILALAMC - MOENERGY,        36.24,        35.00,        36.61,        35.00,        36.49,                  8895802.05,244935,1127,        42.40,        33.00,NIFTY ENERGY INDEX
