MARKET,SERIES,SYMBOL,SECURITY,PREVIOUS CLOSE PRICE,OPEN PRICE,HIGH PRICE,LOW PRICE,CLOSE PRICE,NET TRADED VALUE,NET TRADED QTY,TRADES,52 WEEK HIGH,52 WEEK LOW,UNDERLYING
N,EQ,SBIETFIT,SBIAMC - SBIETFIT,       399.04,       399.01,       399.01,       390.00,       393.13,                  5826885.42,14878,566,       510.00,       335.00,NIFTY IT INDEX
N,EQ,SBIETFPB,SBIAMC - SBIETFPB,       293.30,       294.49,       295.47,       292.01,       295.35,                   586186.19,1997,79,       299.88,       237.15,NIFTY PRIVATE BANK INDEX
N,EQ,SBIETFQLTY,SBIAMC - SBIETFQLTY,       225.34,       230.97,       230.97,       223.10,       226.16,                   514992.60,2290,72,       240.00,       191.50,NIFTY 200 QUALITY 30 INDEX
N,EQ,SBILIQETF,SBIAMC - SBILIQETF,      1025.65,      1025.97,      1025.99,      1025.97,      1025.98,                  7110109.01,6930,32,      1050.00,       984.99,NIFTY 1D RATE INDEX
N,EQ,SBINEQWETF,SBIAMC - SBINEQWETF,        33.47,        33.47,        33.59,        33.28,        33.50,                  1576127.23,47081,251,        34.80,        27.30,NIFTY50 EQUAL WEIGHT
N,EQ,SBISILVER,SBIAMC - SBISILVER,       244.27,       244.00,       244.00,       221.60,       230.04,               2209975535.67,9662258,73142,       362.00,        86.00,SBI SILVER ETF
N,EQ,SDL26BEES,RELCAPAMC-NETFSDL26,       136.10,       135.38,       136.80,       135.38,       135.50,                   991333.16,7295,149,       143.99,       124.95,NIFTY SDL APR 2026 TOP 20 EQUAL WEIGHT INDEX
N,EQ,SELECTIPO,MIRAEAMC - SELECTIPO,        43.61,        43.48,        43.73,        43.04,        43.72,                   454741.13,10488,105,        57.75,        35.40,BSE SELECT IPO INDEX
N,EQ,SENSEXADD,DSPAMC - DSPSENXETF,        85.51,        85.31,        85.51,        84.77,        85.27,                    74045.09,870,25,        88.20,        72.00,DSP S&P BSE SENSEX ETF
N,EQ,SENSEXBETA,UTIAMC-SENSEXBETA,       916.87,       911.33,       929.00,       911.33,       918.27,                  6016594.63,6558,1300,       952.91,       779.95,SENSEX
N,EQ,SENSEXETF,MIRAEAMC - SENSEXETF,        85.45,        85.46,        85.72,        84.96,        85.58,                   955880.33,11202,245,        88.70,        72.01,MIRAE ASSET S&P BSE SENSEX ETF
N,EQ,SENSEXIETF,ICICI PRUD SENSEX ETF,       953.04,       952.04,       954.34,       948.09,       952.68,                 15096418.19,15869,2993,       999.84,       812.04,SENSEX
N,EQ,SETF10GILT,SBIAMC - SETF10GILT,       259.15,       259.31,       260.30,       258.00,       258.50,                  1102102.07,4261,73,       265.63,       245.03,NIFTY 10 YR BENCHMARK G-SEC INDEX
N,EQ,SETFGOLD,SBI-ETF GOLD,       129.60,       129.93,       129.93,       126.60,       129.12,               1875333278.95,14582098,39563,       153.95,        64.96,GOLD
