MARKET,SERIES,SYMBOL,SECURITY,PREV_CL_PR,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE,NET_TRDVAL,NET_TRDQTY,CORP_IND,HI_52_WK,LO_52_WK
N,SM,AERON,AERON COMPOSITE LIMITED,       100.70,        96.15,       102.50,        96.15,       102.00,                   907500.00,9000, ,       165.00,        89.05
N,SM,AGARWALFT,AGARWAL FLOAT GLASS I LTD,        31.00,        32.50,        32.55,        31.00,        31.00,                   237150.00,7500, ,        71.25,        31.00
N,SM,AGARWALTUF,AGARWAL TOUGH GLASS IND L,       100.50,       100.25,       103.00,       100.25,       101.80,                  3427320.00,33600, ,       174.05,        81.00
N,SM,AGNI,AGNI GREEN POWER LTD,        18.95,        18.60,        19.45,        18.60,        19.40,                   283750.00,15000, ,        43.35,        17.90
N,ST,AIMTRON,AIMTRON ELECTRONICS LTD,       850.65,       849.00,       852.00,       826.00,       842.50,                  6546370.00,7800, ,      1040.00,       358.00
N,SM,AKANKSHA,AKANKSHA POWER N INFRA L,        71.95,        71.95,        72.00,        71.95,        72.00,                   215950.00,3000, ,       133.75,        63.00
N,ST,AKIKO,AKIKO GLOBAL SERVICES L,       206.00,       206.00,       210.00,       201.50,       208.00,                  4954000.00,24000, ,       299.30,        62.00
N,SM,ALCODIS,ALCOKRAFT DISTILLERIE LTD,        76.05,        74.00,        79.00,        74.00,        79.00,                   386875.00,5000, ,       208.50,        73.25
N,SM,ALLETEC,ALL E TECHNOLOGIES LTD,       182.65,       182.00,       182.00,       170.00,       172.70,                 10792420.00,61600, ,       475.50,       170.00
N,SM,ALPEXSOLAR,ALPEX SOLAR LIMITED,       783.25,       781.20,       873.50,       771.25,       864.20,                152697745.00,183000, ,      1449.70,       495.00
N,SM,AMBANIORGO,AMBANI ORGOCHEM LIMITED,       114.20,       119.90,       119.90,       115.00,       119.90,                  2992600.00,25000, ,       143.65,        94.90
N,SM,AMBEY,AMBEY LABORATORIES LTD,        29.70,        28.40,        30.00,        28.00,        30.00,                   291800.00,10000, ,        60.00,        25.90
N,SM,AMEYA,AMEYA PRECISION ENG LTD,        90.35,        93.95,        94.00,        93.95,        94.00,                   281950.00,3000, ,       127.25,        86.40
N,SM,AISL,ANI INTEGRATED SERV LTD.,        75.60,        72.60,        72.60,        72.60,        72.60,                   217800.00,3000, ,       153.00,        72.60
N,SM,ANLON,ANLON TECHNOLOGY SOL LTD,       377.30,       385.00,       385.00,       376.25,       377.55,                   909340.00,2400, ,       497.00,       239.00
N,SM,ANNAPURNA,ANNAPURNA SWADISHT LTD,       215.90,       214.80,       219.30,       205.00,       207.25,                126297750.00,584250, ,       371.00,       180.00
N,SM,ANYA,ANYA POLYTECH & FERTI LTD,        20.55,        19.95,        20.95,        19.95,        20.95,                   614500.00,30000, ,        29.05,        19.45
N,SM,APEXECO,APEX ECOTECH LIMITED,       134.70,       132.00,       134.10,       132.00,       134.10,                   318480.00,2400, ,       165.60,        73.00
N,SM,APRAMEYA,APRAMEYA ENGINEERING LTD,       236.40,       248.95,       261.00,       227.10,       240.00,                  6627650.00,27500, ,       360.00,        86.50
N,SM,ARABIAN,ARABIAN PETROLEUM LIMITED,        68.05,        69.00,        70.00,        69.00,        70.00,                  1671000.00,24000, ,        92.95,        63.00
N,SM,ARCIIL,ARC INSULATION & INSU LTD,        62.00,        60.00,        60.00,        55.35,        57.50,                  1415700.00,25000, ,       145.00,        55.35
N,ST,ARHAM,ARHAM TECHNOLOGIES LTD,       140.05,       139.00,       139.95,       135.80,       139.95,                   550750.00,4000, ,       161.00,        70.80
N,SM,ARMOUR,ARMOUR SECURITY (INDIA) L,        30.10,        29.90,        31.25,        29.90,        30.45,                  1531300.00,50000, ,        45.60,        28.90
N,SM,ARVINDPORT,ARVIND PORT AND INFRA LTD,        30.50,        30.20,        30.75,        29.00,        30.75,                  1029225.00,34500, ,        87.40,        28.95
N,ST,ASCOM,ASCOM LEASIN & INVEST LTD,       159.00,       162.00,       165.00,       162.00,       165.00,                   490000.00,3000, ,       165.00,        76.55
N,SM,ASHALOG,ASHAPURA LOGISTICS LTD,        66.00,        64.00,        64.00,        64.00,        64.00,                   128000.00,2000, ,        93.10,        60.00
N,SM,ASHWINI,ASHWINI CONTAINER MOVER L,       135.00,       135.00,       140.00,       135.00,       139.50,                  3883800.00,28000, ,       167.80,       127.90
N,SM,ASPIRE,ASPIRE & INNOVATIVE ADV L,        14.80,        15.20,        15.20,        15.20,        15.20,                   304000.00,20000, ,        40.00,        14.40
N,SM,ATCENERGY,ATC ENERGIES SYSTEM LTD,        29.50,        30.05,        30.60,        30.00,        30.40,                   653160.00,21600, ,       115.35,        27.00
N,SM,ATMASTCO,ATMASTCO LIMITED,       144.45,       145.00,       145.00,       140.05,       144.00,                  1372260.00,9600, ,       294.00,       109.00
N,SM,AUROIMPEX,AURO IMPEX & CHEMICALS L,        32.10,        30.95,        30.95,        30.50,        30.55,                   196160.00,6400, ,        70.65,        30.50
N,SM,APS,AUSTRALIAN PREM SOLAR I L,       376.65,       377.25,       384.95,       373.65,       378.85,                  5506687.50,14500, ,       654.00,       293.00
N,SM,AVANA,AVANA ELECTROSYSTEMS LTD,        72.55,        71.05,        72.00,        70.00,        71.50,                  2274300.00,32000, ,        83.60,        63.95
N,SM,AVIANSH,AVI ANSH TEXTILE LIMITED,       116.00,       116.25,       117.50,       116.25,       117.50,                   584000.00,5000, ,       123.50,        93.80
N,SM,AVPINFRA,AVP INFRACON LIMITED,       110.15,       115.00,       120.50,       114.00,       117.25,                  9681440.00,82400, ,       223.45,        83.00
N,SM,BAGDIGITAL,B.A.G.CONVERGENCE LIMITED,       113.75,       115.00,       115.00,       112.00,       112.00,                  2354800.00,20800, ,       139.00,        95.75
N,SM,BABAFP,BABA FOOD PROCESSING,        28.75,        25.15,        26.00,        25.00,        26.00,                   452720.00,17600, ,        56.00,        24.30
N,SM,BAHETI,BAHETI RECYCLING IND LTD,       597.85,       600.00,       607.00,       592.85,       596.05,                  8970412.50,15000, ,       649.90,       390.65
N,SM,BALAJIPHOS,BALAJI PHOSPHATES LIMITED,       143.50,       144.00,       144.00,       136.00,       139.30,                  6568000.00,47000, ,       184.70,        72.60
N,SM,BARFLEX,BARFLEX POLYFILMS LIMITED,        60.95,        60.95,        61.00,        60.95,        61.00,                   243900.00,4000, ,        82.40,        41.15
N,SM,BASILIC,BASILIC FLY STUDIO LTD,       258.70,       255.50,       262.80,       255.35,       257.35,                  7227360.00,28200, ,       509.80,       223.15
N,SM,BAWEJA,BAWEJA STUDIOS LIMITED,        32.00,        31.10,        31.10,        30.50,        30.50,                    49280.00,1600, ,        75.70,        27.35
N,ST,BEACON,BEACON TRUSTEESHIP LTD,        87.25,        89.70,        89.70,        86.50,        89.50,                  1238850.00,14000, ,       102.50,        50.00
N,SM,BEWLTD,BEW ENGINEERING LIMITED,        97.25,        97.25,        97.75,        97.00,        97.50,                   437775.00,4500, ,       239.80,        90.00
N,SM,BHADORA,BHADORA INDUSTRIES LTD,        66.50,        69.50,        69.50,        69.50,        69.50,                    83400.00,1200, ,       128.85,        60.00
N,ST,BIKEWO,BIKEWO GREEN TECH LIMITED,        20.00,        20.10,        20.10,        20.10,        20.10,                   402000.00,20000, ,        24.95,        13.65
N,SM,BLUEPEBBLE,BLUE PEBBLE LIMITED,       142.20,       142.55,       146.00,       140.05,       142.40,                  1207320.00,8400, ,       317.00,        88.00
N,SM,BLUEWATER,BLUE WATER LOGISTICS LTD,       136.50,       135.00,       135.00,       132.20,       134.35,                   670200.00,5000, ,       187.20,       125.40
N,SM,BMETRICS,BOMBAY METRICS S C LTD,        38.00,        39.45,        39.50,        39.45,        39.50,                   157920.00,4000, ,        63.20,        35.35
N,SM,BRACEPORT,BRACE PORT LOGISTICS LTD,        81.55,        80.00,        80.00,        78.85,        78.85,                   380560.00,4800, ,       111.00,        69.00
N,ST,CKKRETAIL,C K K RETAIL MART LIMITED,       163.00,       163.00,       171.15,       163.00,       171.15,                390786680.00,2372800, ,       171.15,       163.00
N,ST,CPS,C P S SHAPERS LIMITED,      1293.90,      1231.00,      1285.00,      1229.25,      1257.10,                   930562.50,750, ,      1306.45,       412.00
N,SM,C2C,C2C ADVANCED SYSTEMS LTD,       375.65,       374.35,       374.35,       343.00,       351.20,                 36980677.50,103200, ,       888.00,       250.15
N,SM,CUDML,CASH UR DRIVE MARKETING L,       127.90,       122.15,       124.40,       122.15,       122.40,                  1969550.00,16000, ,       166.50,       114.50
N,SM,CEDAAR,CEDAAR TEXTILE LIMITED,        43.00,        45.00,        45.00,        40.00,        40.60,                   859000.00,21000, ,       136.30,        40.00
N,SM,CELLPOINT,CELL POINT (INDIA) LTD,        16.15,        16.00,        16.00,        16.00,        16.00,                    19200.00,1200, ,        26.90,        15.05
N,SM,CELLECOR,CELLECOR GADGETS LIMITED,        28.15,        27.65,        28.40,        27.25,        28.00,                  5440050.00,195000, ,        68.80,        25.75
N,SM,CMNL,CHAMAN METALLICS LIMITED,       115.05,       112.00,       115.00,       112.00,       115.00,                  1598250.00,14250, ,       183.90,        98.10
N,SM,CHAMUNDA,CHAMUNDA ELECTRICAL LTD,        45.30,        44.05,        44.05,        44.00,        44.05,                   396300.00,9000, ,        71.00,        36.10
N,SM,CHANDAN,CHANDAN HEALTHCARE LTD,       263.45,       262.05,       272.00,       262.05,       271.85,                  9272160.00,34400, ,       358.00,       140.00
N,SM,CHAVDA,CHAVDA INFRA LIMITED,       108.75,       110.55,       113.00,       110.10,       112.40,                  1453200.00,13000, ,       172.60,        82.10
N,SM,CLASSICEIL,CLASSIC ELECTRODE (IND) L,        51.10,        51.50,        52.00,        51.50,        52.00,                   496000.00,9600, ,       113.90,        51.00
N,SM,CSSL,CLEAR SECURED SERVICES L,       130.10,       133.00,       134.45,       127.00,       130.00,                 11200950.00,86000, ,       164.00,        96.75
N,SM,CONNPLEX,CONNPLEX CINEMAS LIMITED,       249.70,       239.00,       265.00,       239.00,       261.75,                 17567360.00,68800, ,       293.00,       177.00
N,SM,COOLCAPS,COOL CAPS INDUSTRIES LTD,        31.60,        30.05,        30.05,        30.05,        30.05,                  3643562.50,121250, ,       931.00,        30.05
N,SM,CGRAPHICS,CREATIVE GRAPHICS S IND L,       157.40,       157.00,       158.85,       156.00,       157.00,                  2521720.00,16000, ,       259.00,       134.40
N,SM,CLSL,CROP LIFE SCIENCE LIMITED,        49.50,        49.50,        49.50,        49.50,        49.50,                    99000.00,2000, ,        62.80,        42.25
N,SM,CURIS,CURIS LIFESCIENCES LTD,       105.55,       107.00,       107.00,       107.00,       107.00,                   107000.00,1000, ,       147.90,        98.00
N,SM,CURRENT,CURRENT INFRAPROJECTS LTD,       124.00,       120.00,       125.00,       120.00,       125.00,                   392000.00,3200, ,       163.00,       120.00
