MARKET,SERIES,SYMBOL,SECURITY,PREV_CL_PR,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE,NET_TRDVAL,NET_TRDQTY,CORP_IND,TRADES,HI_52_WK,LO_52_WK
N,N6,901NHB34,BOND 9.01%PA TF TR-I S 3B,      6200.00,      6200.00,      6200.00,      6200.00,      6200.00,                    49600.00,8, ,3,      7390.00,      6103.00
N,N6,SCL01825,SCL 0% 2027 SR III,       986.35,       986.35,       986.35,       986.35,       986.35,                    19727.00,20, ,2,      1008.00,       911.62
N,N7,1050NFL26,SEC RE NCD 10.50% SR.IV,      1000.00,      1177.00,      1177.00,      1000.00,      1000.00,                   179693.00,171, ,11,      1200.00,       970.14
N,N7,105IIFL29,UNSEC RED NCD 10.5% SR.VI,      1012.00,      1011.99,      1011.99,      1011.99,      1011.99,                    10119.90,10, ,1,      1508.00,       905.00
N,N7,719HUDCO28,BOND 7.19% PA TAX FREE S2,      1091.10,      1092.01,      1095.00,      1092.01,      1095.00,                    98415.45,90, ,2,      1139.99,      1032.50
N,N7,774IREDA31,7.74% TAX FREE NCD,      1094.00,      1099.00,      1099.00,      1094.00,      1094.00,                    53661.00,49, ,2,      1171.00,      1085.00
N,N7,898LTF29,SERENCD 8.98% SR.VI OP2,      1074.00,      1073.00,      1073.00,      1073.00,      1073.00,                     1073.00,1, ,1,      1182.00,      1030.00
N,N7,NIDOZC26,SEC RED NCD SR. VII,      2436.00,      2463.00,      2463.00,      2463.00,      2463.00,                     4926.00,2, ,1,      2463.00,      1920.21
N,N7,PFCL36,PFCL 0% ZCB 2036 SR III,     50725.00,     51700.00,     51700.00,     51100.00,     51100.00,                  1436980.00,28, ,4,     51700.00,     50725.00
N,N8,764HUDCO31,7.64% TAX FREETRI SR2B,      1108.00,      1095.00,      1099.70,      1095.00,      1098.70,                   186632.20,170, ,16,      1175.00,      1081.21
N,N8,81TCHF28,SEC RED NCD 8.10% SR.IV,      1015.20,      1025.00,      1025.00,      1015.12,      1015.55,                   250110.90,246, ,6,      1107.50,       986.70
N,N8,892PFCL33,8.92% TAX FREE NCD,      1236.00,      1236.00,      1240.00,      1233.95,      1234.99,                  1342427.86,1087, ,18,      1343.00,      1219.99
N,N8,920IIFLS26,SEC RE NCD 9.20% SR I,       990.00,       994.00,      1000.00,       994.00,      1000.00,                   804970.00,805, ,3,      1020.00,       903.00
N,N9,728NTPC30B,TFB 7.28% 2030 SR. 2A,      1319.50,      1320.00,      1320.00,      1320.00,      1320.00,                    79200.00,60, ,2,      1320.00,      1085.15
N,N9,735NHAI31,TAX FREE7.35% SR.IIA,      1139.26,      1139.25,      1139.25,      1139.25,      1139.25,                   398737.50,350, ,2,      1340.90,      1075.10
N,N9,769HUDCO31,7.69% TAX FREETRII SR2B,      1101.72,      1101.60,      1105.00,      1100.00,      1100.35,                   435802.55,396, ,20,      1173.00,      1076.88
N,N9,820IIFL27,SEC RE NCD 8.20% SR.III,       989.57,       989.57,       989.57,       989.57,       989.57,                    49478.50,50, ,2,      1000.00,       945.00
N,N9,871REC28,BOND 8.71% TAX FREE S2B,      1092.31,      1092.00,      1092.01,      1090.01,      1090.01,                  1244530.04,1141, ,14,      1179.99,      1075.00
N,N9,885SCL26,SEC RED NCD 8.85% SR. VI,      1010.50,      1011.50,      1011.50,      1011.50,      1011.50,                    50575.00,50, ,1,      1076.25,       952.57
N,N9,895AEL27,AEL 8.95% 2027 SR I,      1036.00,      1036.90,      1036.90,      1036.20,      1036.20,                   290269.00,280, ,5,      1094.00,       935.10
N,N9,PFCL36B,PFCL 0% ZCB 2036 SR III,     50840.00,     50725.00,     50829.00,     50725.00,     50800.01,                  5944407.10,117, ,15,     50840.00,     50183.05
N,NA,76NHAI31,TAX FREE7.60% SR.IIB,      1151.00,      1149.10,      1149.50,      1148.20,      1148.80,                   528437.50,460, ,11,      1180.00,      1086.00
N,NA,865IRFC29,BOND 8.65% PA TF TI-SIIB,      1155.00,      1155.00,      1173.88,      1145.10,      1165.00,                  1169392.88,1021, ,6,      1199.00,      1090.00
N,NA,9PCHFL31A,SEC RE NCD 9% SR.V,      1060.00,      1056.00,      1070.10,      1056.00,      1070.10,                   219300.00,205, ,5,      1089.80,       985.00
N,NA,9SCL26BA,SEC RED NCD 9.0% SR. VI,      1017.00,      1021.80,      1023.00,      1021.80,      1023.00,                    11245.80,11, ,2,      1064.75,       950.00
N,NB,105UCL2026,SEC RE NCD 10.5% SR IV,      1030.00,      1181.00,      1181.00,      1070.00,      1070.00,                    41961.00,36, ,2,      1189.00,       882.00
N,NB,10IIFLSF27,SEC RE NCD 10.00% SR IV,      1040.00,       885.00,       998.00,       885.00,       998.00,                    37660.00,40, ,2,      1286.40,       885.00
N,NB,SCLZC26,SEC RED NCD SR. VII,      2185.00,      2170.00,      2183.20,      2170.00,      2183.20,                   609240.00,280, ,7,      2196.80,      1901.25
N,NB,TCHF30,UN SE RE NCD 8.55% SR.VI,      1067.00,      1084.00,      1084.00,      1082.00,      1082.00,                     2166.00,2, ,2,      1131.25,      1015.00
N,NC,1003IIFL29,SEC RE NCD 10.03% SR V,      1025.00,      1015.00,      1015.00,       989.01,       989.01,                    11139.01,11, ,2,      1098.00,       838.20
N,NC,1065NFL27,SEC RE NCD 10.65% SR.IV,      1014.10,      1010.00,      1010.00,      1010.00,      1010.00,                     8080.00,8, ,2,      1200.00,       950.01
N,NC,11UCL26,SEC RE NCD 11% SR V,      1090.20,      1100.00,      1100.00,      1090.20,      1090.20,                   101102.08,92, ,5,      1240.30,       960.10
N,NC,730PFCL41,PFCL 7.30% 2041 SR IV,       964.16,       965.00,       965.00,       962.10,       962.66,                   174338.01,181, ,27,       999.00,       960.82
N,NC,843IHFL29,SEC RE NCD 8.43% SR.VI,       970.10,       972.00,       972.00,       972.00,       972.00,                    48600.00,50, ,1,       998.98,       875.40
N,NC,879SCL26,UNS RED NCD 8.79% SR.VIII,       990.00,      1000.00,      1000.00,      1000.00,      1000.00,                    85000.00,85, ,2,      1050.00,       830.20
N,NC,915AEL28,AEL 9.15% 2028 SR IV,      1059.99,      1046.00,      1055.00,      1046.00,      1055.00,                    22146.00,21, ,2,      1060.00,       990.60
N,NC,SCL0182025,SCL 0% 2028 SR VI,       935.10,       935.10,       935.13,       935.10,       935.13,                     1870.23,2, ,2,       995.00,       819.20
N,ND,76IGT26,SEC RE NCD 7.60% SR.II,      1054.20,      1052.00,      1052.00,      1052.00,      1052.00,                     5260.00,5, ,2,      1065.00,       966.00
N,ND,876HUDCO28,8.76% TAX FREETRI SR2B,      1105.00,      1105.99,      1106.90,      1104.00,      1104.00,                   464241.81,420, ,15,      1270.00,      1072.00
N,ND,970CAGL28,SEC RE NCD 9.70% SR VII,      1021.00,      1022.00,      1026.00,      1022.00,      1025.50,                   153819.00,150, ,5,      1123.00,       992.08
N,NE,1039UCL26,UCL 10.39% SR II,      1073.80,      1068.00,      1073.80,      1060.20,      1073.80,                    18066.20,17, ,4,      1073.80,       956.00
N,NE,10IIFL28A,UNSE RE NCD 10% SR.I,      1065.00,      1070.00,      1070.00,      1070.00,      1070.00,                   107000.00,100, ,2,      1111.00,       934.00
N,NE,769NHAI31,TAX FREE 7.69% SR. IIB,      1114.25,      1114.01,      1114.01,      1114.01,      1114.01,                    77980.70,70, ,7,      1210.00,      1087.19
N,NE,901HUDCO34,9.01% TAX FREETRII SR3B,      1243.99,      1241.00,      1241.00,      1240.00,      1240.00,                   248050.00,200, ,3,      1341.99,      1211.00
N,NE,9AEL30,AEL 9% 2030 SR VI,      1018.75,      1019.00,      1020.00,      1015.00,      1015.00,                   190404.05,187, ,14,      1068.00,       995.00
N,NE,PFCL41A,PFCL 0% 2041 SR V,       900.00,       900.00,      1000.00,       900.00,       950.00,                    66505.16,73, ,7,      1000.00,       900.00
N,NF,888REC29,BOND8.88% PA TF TR II S2B,      1105.14,      1105.14,      1105.14,      1105.14,      1105.14,                    55257.00,50, ,1,      1198.99,      1083.00
N,NF,930AEL30,AEL 9.3% 2030 SR VII,      1058.46,      1058.00,      1058.00,      1050.30,      1055.00,                   200408.00,190, ,7,      1079.90,       990.10
N,NF,96IIFL28A,UNSE RE NCD 9.6% SR.II,       995.50,       996.02,       999.00,       996.01,       998.00,                  3009628.48,3017, ,23,      1000.00,       890.00
N,NG,IIFLZC28,UNSE RE NCD 0% SR.III,      1540.10,      1540.10,      1540.10,      1536.90,      1536.90,                   158310.30,103, ,2,      1565.49,      1112.10
N,NH,1050UCL28,UCL 10.50% SR V,      1020.00,      1010.00,      1029.00,      1010.00,      1020.00,                   133335.00,130, ,7,      1055.00,       951.10
N,NH,743REC35,7.43% TAX FREE TRI SR3B,      1160.30,      1162.11,      1164.00,      1162.11,      1164.00,                   160429.77,138, ,2,      1237.00,      1131.01
N,NH,860AEL28,AEL 8.60% 2028 SR I,      1003.00,      1003.00,      1003.01,      1003.00,      1003.00,                     8024.05,8, ,3,      1029.80,       980.47
N,NH,87LTF27,SERENCD 8.70% SR.VII OPII,      1049.00,      1049.00,      1049.00,      1049.00,      1049.00,                     5245.00,5, ,1,      1210.00,      1002.01
N,NI,812REC27,8.12/8.32% TAX FREE NCD,      1076.00,      1076.00,      1076.00,      1076.00,      1076.00,                   309888.00,288, ,7,      1170.00,      1032.00
N,NI,AEL12126,AEL 0% 2028 SR II,       951.00,      1024.00,      1024.00,       991.00,       991.00,                     7992.90,8, ,3,      1024.00,       951.00
